bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
Sn_F,Sn,F,1,1.96,0.09375370195522187,1.866246298044778,1.85975,0.37
Sb_F,Sb,F,1,1.96,0.08451302498205737,1.875486975017943,1.86,0.3699999999999999
I_F,I,F,1,1.96,0.06579420527369642,1.894205794726304,1.876666666666667,0.3699999999999999
Co_Ne,Co,Ne,0,1.96,0.3348504701470056,1.625149529852994,,
Te_Ne,Te,Ne,0,1.96,0.0395634584772887,1.920436541522711,,
Na_H,Na,H,1,1.97,0.2864122499018255,1.683587750098174,1.68,0.37
Cm_He,Cm,He,0,1.97,0.1192012947252756,1.850798705274724,,
Ni_C,Ni,C,1,1.97,0.2501341305705698,1.71986586942943,,
Xe_F,Xe,F,0,1.97,0.04293460156031959,1.92706539843968,1.946666666666667,0.3699999999999999
Po_F,Po,F,1,1.97,-0.2857605926688864,2.255760592668886,2.38,0.37
Cr_Ne,Cr,Ne,0,1.97,0.3214661315945123,1.648533868405488,,
Pd_Ne,Pd,Ne,0,1.97,0.259654195972902,1.710345804027098,,
Sn_Ne,Sn,Ne,0,1.97,0.09459461884483006,1.87540538115517,,
Sb_Ne,Sb,Ne,0,1.97,0.08535394187166556,1.884646058128334,,
I_Ne,I,Ne,0,1.97,0.06578381401400615,1.904216185985994,,
Sc_He,Sc,He,0,1.98,0.4136256983517266,1.566374301648273,,
Ta_He,Ta,He,0,1.98,0.3421216427552275,1.637878357244773,,
Be_Cl,Be,Cl,1,1.98,0.2192900914482166,1.760709908551783,1.76,0.37
Cu_O,Cu,O,1,1.98,0.3257861933303138,1.654213806669686,1.6444,0.37
Hg_O,Hg,O,1,1.98,0.04576177772580547,1.934238222274195,1.93725,0.37
Mg_F,Mg,F,1,1.98,0.3581101542305373,1.621889845769463,1.609,0.37
Ir_F,Ir,F,1,1.98,0.1408106612247928,1.839189338775207,1.82,0.37
Xe_Ne,Xe,Ne,0,1.98,0.04377551844992789,1.936224481550072,,
Po_Ne,Po,Ne,0,1.98,-0.2795625746079363,2.259562574607936,,
Bk_H,Bk,H,1,1.99,0.1593873616309756,1.830612638369024,,
Cf_H,Cf,H,1,1.99,0.1649031323194919,1.825096867680508,,
Li_N,Li,N,1,1.99,0.3961741508649171,1.593825849135083,1.61,0.37
Fe_F,Fe,F,1,1.99,0.3595140581183626,1.630485941881637,1.6645,0.37
Rh_F,Rh,F,1,1.99,0.3003574734080015,1.689642526591998,1.71,0.37
In_F,In,F,1,1.99,0.1814571724946973,1.808542827505303,1.792,0.37
Mg_Ne,Mg,Ne,0,1.99,0.3589510711201455,1.631048928879854,,
Ir_Ne,Ir,Ne,0,1.99,0.1426515640637437,1.847348435936256,,
Cm_H,Cm,H,1,2.0,0.06336667147739508,1.936633328522605,,
B_Kr,B,Kr,0,2.0,0.1506907320318145,1.849309267968186,,
Fe_Ne,Fe,Ne,0,2.0,0.3603549750079709,1.639645024992029,,
Rh_Ne,Rh,Ne,0,2.0,0.3011983902976096,1.69880160970239,,
